标题,链接,内容摘要
中山大学2023招生计划出炉!全国招7650人，录取分数线汇总分析,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7243608771509928481%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e730343b22dbc76962bbdd90ecace7e48158e0b58fe8f7f6a3aa92e27790f444689369b35ffae86df424abfec1f7621979,中山大学是我国著名的985工程大学，211工程大学，国家第一轮和第二轮“双一流”建设高校，是国家教育部直属高校。中山大学2023年度财政经费预算共1...
中山大学VS武汉大学，两强相争，谁更有性价比,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7358272626739036699%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7bf79f3b2812f321b257b1687e15ff16d6ff6b7f836f402faadcbde753e200a9d7d319adcabc5ba77e9b98c95475ed56d,中山大学，曾经的国立第一中山大学。武汉大学，曾经的国立第二中山大学。两所实力强劲的全国重点综合性大学，985工程，双一流A类大学建设高校，当...
国家985、211工程著名高校:中山大学,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7355381619596722751%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e78fd39661afbf540b683d2af435a10aafe1995ad741feac2b5828d7af44e8d5a7e23db89dcd2284dcc1d66fb2ec6c50c8,播放次数：218次
天时地利人和的中山大学为何没有成为“复交浙”?比武大都一截了,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7295182680499733026%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e79d5f0d5d7e5e2024ce39846836a43db7254ab7021461231709fccd4258cf8391266a7658b1e341053a8513b667c39ab2,中山大学拥有成为顶级名校的天时地利人和，为何逐渐沦为985高校中的平庸呢? 现在的中山除去医学院可以拿得出手，其它学科，不要说复交浙比了，就是...
考上中山大学意味着什么?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7214735209902768673%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7c5260402dd5db42b654e01bdc6cd5297b6c0141f2953cc81842db7d84deead4adc91da2e41722d6ccce9e04e788f9b57,考上中山大学意味着半只脚踏入了体制内。中山大学是广东省最知名的高校之一，也是全国排名位居前列的高水平综合性大学，是全国双一流建设高校。
泰晤士“中国学科评级”结果出炉，中山大学22个学科获评A+!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7352416350410654208%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e77d46e594f52c4a0ae26186651b012768c2cec89d114b90f16212720c4d45b833cb616e0d784309f0f51c2085b31dcd01,中山大学表现优异，共有59个学科入选，A类学科数量达49个，其中22个A+学科，入选数量位居全国前10，相较去年新增一个A+学科，整体学科实力强劲。
全省2500名，中山大学和中南大学，怎么选?老师告诉你答案,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7317441251748594216%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e745ffe1ad7779e2003eb6cb481833f4837d21ccee103d3121dbbabddf3a94fd9829b69de9ccbc1bd53bebd2c81ca30558,"松子说教育
58评论
2023年12月29日"
中山大学介绍,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7259383758049640994%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e75e79bd1eafa8eced63a3484c08cbe9c44508015937bb6a5e7336306d3eaed66b4f831229b30acfdf6eb1bf3dc2586a0d,播放次数：182次
中山大学，广东人心中的清华北大，多少分才能考上呢?答案来了!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7266338348770918947%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e795f9006bf5f58425fb22020465b7320efb4fdcac1cd72cc6c3fc897892f466d1cb87f844c8d932c8391bb2f2e5dfbd91,刷短视频的时候，刷到一位美女主播推出的关于中山大学的短视频:广东人心中的清华北大，华南第一学府，这里的风景在全国所有大学里面都能排进前三，...
中山大学又现拉胯，在多省专项计划录取线靠后，原因深层次解析,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7255914731205263911%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e775dde3e210c243712fdc755dd7002f9e54b41763894ac8182cec8fe50110e78f4b7c9498d38de2b3a040496cd094c409,中山大学位于广东省广州市，是我国南方的知名的高等学府。他源于1925年孙中山先生创立的国立广东大学，经过多年的发展，如今已成为一所具有国际影...
2023直击高招:高校强基计划——中山大学,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7220767346364711480%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7368ce7a2bd331f20dd807b4ad183ef8b6c2f35ae4e21fcfcc12f54af33436599f15730ebdf1202f46d16657434be2e63,中山大学2023年继续开展强基计划招生，探索多维度考核评价模式，选拔一批有志向、有兴趣、有天赋，以“立报国大志，做强国大事”为人生追求的青年...
中山大学举行开学典礼，校长寄语新生:不“躺平”，不“摆烂”,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7279762160505422371%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7bfc3880fa7a2b0e432b6bf5f01c7f8481d597b66d07671825d2ab54f9b145248f2d49138dd5d7f0548157c8b3d82500d,9月17日，中山大学举行2023年开学典礼暨“大学第一课”。来自中山大学三校区五校园的近2万名2023级新生，以线上线下结合的方式参加开学典礼，聆听...
谁是真正的中大?中山大学，中南大学还是中北大学?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7259340890634781223%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e740345f426912f2102d502fbd118508d44bc6c5d3d06c23e9bf1f817953096afdea711904f3fd4eff0853a40a81470c70,三个备选答案分别是中山大学，中南大学和中北大学，这也是广大学子最熟悉的3所以中字开头的大学，那么中大名称到底花落谁家呢? 中山大学是最早的“...
中山大学及现任领导简介,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7262749496700863037%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e75cb5878b8a4c8c8c2f13bea7f9978cab0bf531bbbb9777305f73792d0a4f0a51515258669ea691ff4340d25026bf91ce,中山大学(Sun Yat-sen University)，简称“中大”，位于广东省，由中华人民共和国教育部直属，是教育部、国家国防科技工业局和广东省共建的综合性...
中山大学的这些，一般人我不告诉他,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7336814563826106891%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7c8d567ef572ead9de151cf74c02bfb50dc52fbd6a2016829fd6ae06cc8bdf54c9a12649ec598bd12e8f56a9b0ea3c863,中山大学 这是一所由孙中山先生亲手创办的高校，一所双一流、211、985高校 一所软科世界大学学术排名国内第7的高校，这就是中山大学，当之无愧的华...
广东GDP连续35年全国第一!2024，想要逐梦未来，就选中山大学!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7332661194932748826%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e733c2d3b22a8a22f2426bbe5ce7b5140e5dfdd8e71c85f49552c96f99e2f80cabb2e563e2853c21643f96c77c52752a92,亦孕育了许多知名学府，中山大学便是其中最为亮眼的存在。来中大，成为一流人才 从广东贡院所在地蹒跚起步，到广州石牌披荆斩棘办学，再到如今三个...
中山大学校长和中山市长，谁的官职高，谁的权力大,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7238478320340304387%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e77123a7d42b8eb3f6b5d6d3b7f631941136aeee0b8440a553254cac4b75ca707cbbf16a547f220f9ad9fe9d5b7184fcf3,中山大学，并不在中山市办学，而是在广州办学。但是，总有人认为，中山大学和中山市有关系，它们之间的关系主要体现在中山市是孙中山先生的故乡。
中山大学可预约参观了!周末、节假日可入校,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7283432594874565180%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7468618170f2c7fc295140c3f70c0f01506b6a4260a3feb79be7307351dd8582a1cf3f0540a4a3c8cccaa0df6bf298552,南都讯 记者 孙小鹏 中山大学9月27日对外公布，自2023年9月27日开始，社会公众可预约在周末、国家法定节假日参观校园。校园参观实行网上实名预约，...
神奇!一家4代10人先后就读中山大学，收到2023首封录取通知书!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7264879028090323471%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7e2cca7f650897d45b5728041bca7e3b153bd6a498c0c7576a1ba06b3966a6ffc4911b868667a95da05db10cb97183030,七月中旬，2023中山大学全国首封录取通知书送出，来自广东实验中学的陈麒羽收到了这份特别的礼物，成为中山大学的一份子。作为一名“有志向、有兴...
这又是谁的梦中情校，被中山大学校园美到了,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7358683860927775259%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e708bcd7b1bf5393d70e868ce8d0c0650e9936074db073ad5626912c1d07d068c5218d987d589881f30d847c67bdeadd05,播放次数：1161次
马英九率台湾青年到访中山大学，两处参观点“有讲究”,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7353636644519182889%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e78c15c5a17c027107f4fe2d616260b50505d1e5571613f2370d32fa0d391224f95ddb5fe569c37a8cc201415ad67790e4,4月3日下午，马英九率台湾青年到访中山大学广州校区南校园。在此他们参观了孙中山纪念馆，并前往怀士堂与中山大学学生座谈交流。中山大学也是马英...
现场“表白”!马英九参访团台青:这么晚才来中大遇见你,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7353626858488955401%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e770292ace04fc79a0ecf3392c871176d354bc678883ed413ec816a11d9613001fe4a8c30172a390ce5f160438547b5824,” 4月3日下午，台湾青年学子在中大康乐园怀士堂的一段“表白”，瞬间引发两岸学子的尖叫与喝彩。 当天，马英九率“大...
马英九率台湾青年访问中山大学:共叙中山情，同话青年谊,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7353650501038260770%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e773197fe9eacb78f1326c5458e5c01b56fa52b54774e8e8b68e6ae22d749809352cee234d6c8076a1aa14b6392e9efe7a,3日下午 马英九率台湾青年学子 到访中山大学广州校区南校园 两个小时的交流亲切愉悦 双方都留下了美好的印象 共叙中山情 马英九到访中山大学的第一...
中山大学举行2023届毕业典礼暨2023年学位授予仪式,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7250459529765224995%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e77b8e8490dc21fd04fea3adff1e4956c1d30b1d3e46d71a886fe56f61dd388500f0461e30c69fdfa10bba379522359897,6月30日上午，中山大学2023届毕业典礼暨2023年学位授予仪式在该校广州校区南校园体育馆举行。共唱一曲山高水长，带着母校的嘱托与希冀，中山大学20...
中山大学获校友捐赠1亿元,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7359004037301420556%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e73f202ca2e44b3ee4601b8bee63b023834ccc9a77d3681558bbfb22dace0b90aeba6583f15a4f512c4139e9b8f7706ad9,中新网广州4月17日电 (记者 许青青)中山大学今年迎来百岁华诞。17日，中山大学校友伉俪林斌、刘向东向中山大学捐赠1亿元庆祝母校百年华诞。
中山大学2023年确保不调剂专业，不能确保就读校区,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7249627874162950656%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e79236ca7f4e2664620e6c3ade76120410d9ced51a2fe702e8bda922a5981765c9c090a6c926532626f34e8d8d118d5e2e,中山大学2023年完全‬改为按学院、分‬校区‬的‬小专业招生模式。承诺2023年在‬招生录取时，只要‬考生填满6个‬专业志愿，则100%录取到‬所填专...
官宣!这一全国名单公布，中山大学入选!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7358737664772522505%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7e42fd7241f70b168109c5ee32db3449036b185706d36230682898cde5b8f5fc58d708758693729d607fa5e2c34069545,科技部办公厅、中国科学院办公厅公布了2023年度全国优秀科普微视频作品名单，中山大学国家超算广州中心原创科普微视频《携手“天河宝宝”，以科技...
中山大学百年校庆#中山大学 #大学 #大学生 #中大 #大学生活,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7356497282751005211%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7145d587799d38a16f3221c9c2e6ba8af80bd3d3737f7f70c60fb46cb4ef46223e4a31b619cd6fb8f1301c78b34f09c6e,播放次数：137次
"创全球""首个""、建国内""首台""!一文回顾属于中山大学的2023年!",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7317952370984403496%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e79a5cf3315360e27987e4be9d572b20fe00b5692c240d2caaf882bcf5c5b1d99a23f42587a3b60d991ebb1fefa2da4516,从珠江之畔蜿蜒而上，新年的气息拂过中山大学的栋栋红楼，吹进古韵悠然的康乐园，2023年的车轮在此留下一道深深的印痕，成为学校努力建设中国特色...
多少分，可以上中山大学?(附2023年招生计划),https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7243337360321053245%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e790aaf82a6011d50b6fed1d954f89be0278109c110d96ade770cc986c986edaff50a198c4535599caa8f513581569ad27,我们在中山大学，等你! 高考结束后 就要开始考虑填报志愿的问题了 读大学填志愿 请认准招生代码:10558 下一站! 中大! 那么问题来了 在广东，考多少...
深圳中山大学，周末可预约参观，校园大不?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7358661271481156148%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7b3ab9f681ac38242333a9f9bc15236ab85bd3aa1d5fce6dde8026274783545f1c1a015cb71e42f7bcf8326c4c80f538b,播放次数：451次
高校分享之中山大学:中山大学有何特色?各专业组录取分数是多少,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7237777966447460897%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e739caf8db42523bce1f694a8efcbeaea97c8435de0768ee6ddb3c4bed7cbaa7357f190abe9d64ec8e08ec929d05d61bf1,播放次数：1081次
马英九再访大陆丨首站为什么选择广东，为什么参访中山大学,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7352862221808828943%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e782c0fe1a3bb155b6afa90fad1a9e09e3c5581469506b2f01c21f90997258f756013e17c3840671225e0c4a11528325a8, 在广州，除参访中山大学与师生交流外，还去瞻仰黄花岗七十二烈士陵园、参观孙中山先生故居纪念馆与黄埔军校旧址纪念馆等，在吴非看来，这些安排都...
两岸青年互动热 马英九邀中山大学师生体验宝岛,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7353920329284944396%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e78c74df5ddbae4620936a90d607e466a8ded775193b332dc03939485fd0af53c5e3c447d6c4ba70422f415064bce92175,中新社广州4月4日电 “很高兴认识你! ”“你的名字是什么? ”“来广东适应吗? ”3日下午，中山大学广州校区孙中山纪念馆前广场上，素未谋面的两岸...
充满魅力的广州中山大学是怎么样的?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7360334107194229300%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7eb7db1b41e7cbc9b455d4a5a4714df4e7f48984447b66500e0c98384dc179ec83777f3f0e4c02e318b6b007f4c8e6415,想必有很多高中学子的梦想都是中山大学吧，不光光是因为这里学术氛围，更是因为这里是环境，是我们从小到大对大学最美好的想象。
中山大学,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7312062556129100340%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e77786cd8d42508e3dfbbded50be07ea6908f71bcb0e902f4e4ab1fbd96fd94f6ad351eb226c69a4c52493c30b54e91933,播放次数：97次
中山大学举行2023年开学典礼暨“大学第一课”,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7279794335326323200%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e71d32a77c0e6305e75f99cb082b75fae84afaff3ff761c62edc1d9700bc683dff380479c1d5396940f63c7c1c76c3b367,南都讯 记者孙小鹏 通讯员邱清萌 9月17日，中山大学举行2023年开学典礼暨“大学第一课”。来自三校区五校园的近2万名2023级新生，以线上线下结合的...
广东最高学府中山大学,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7298158182226985511%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e717b6adeb92659a25747c578b9eb17b30646a5c4635e1e399d4c60c5c81eb8c8702dcf6dd2d99f0b0a4be0a3cd708246b,播放次数：93次
中山大学2023年本科招生7730人,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7245948317161538105%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e75c7734460445dc403f1116d2b22bde9c956e8fcedd14677e0638ac8a9a2ecc9811fad4f13e5d625bad3ba4bbb2f8d480,18日上午，中山大学2023年本科招生信息发布会召开，中山大学副校长刘济科为考生介绍中大最新办学成果和人才培养特色，招生办公室主任荐志强解读了...
院校分析:中山大学在广东认可度仅次于清北?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7315341521832804916%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e77e81740670f31e40b1c93c6f17aa1107d78778fdf913c26fe80da6734d21d7be3605f9a5f4eb8b0fc05ada26dd80d706,播放次数：2935次
广东教育:中山大学有哪些校区?为什么没有在中山市设立校区?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7186989175953162756%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e788ef8e08004c0a613dbad2c135fbc3a1b085a325e1734dabbe45ff1a6fad35c68babe29670ec35d79a94ac737a57e2ab,我想在省内，大部分人都觉得是中山大学，没有之一，因为中山大学在广东人心中地位，是超过复旦、浙大的存在。中山大学的学校也不断扩大，目前已经...
中山大学辉煌不再,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7264592114942640674%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7272c1cd07ab75c579a57507a34767da3b50890a06ee96c5d81002a375a7328f84e4ff93fe851a77de1ca03206873cf1e,播放次数：35万次
高考必看的广东高校:中山大学,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7338011007275106816%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7859bc05147a539647237221f3f33324d5d80fc733491c9501ce5c7c8fc3f707754bdbc34b565182f1f1e1c1cdad2759f,播放次数：607次
中山大学只要496分，到底是大雪惹的祸?还是这个地方太好,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7247844019953205763%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e77d437ef7698f465a3202cd1851b4162cb24c4cf8af2366daa7a24bd10982ac8ea44aebf53fe3ce00d35826cd2d61383f,播放次数：1万次
2024年全国百强大学排名:北大第1，华科大第7，中山大学第12,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7358275953396548096%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7120ca3206b04efc36cce65455e6d5f085275f8b969989f6b0bb6b492fd42514793064b22736352bc79e41e4b963dab3a,播放次数：2万次
中山大学“学霸寝室”!全员转专业“上岸”:3人直博、1人出国!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7322023472887087643%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e750658b28ad8c4297a3d973f5f848a6f90eaf98ee9312646ece0f66e60d11ecfcf0f1db90565bf6855848f67ec8527c8c,滨临珠海，三面环山，走进中山大学珠海校区，感受自内而外迸发的自由与朝气。这里枕海听涛、驰目骋怀，孕育了无数青年学子立大志、成大事的雄心壮志。
