标题,标题链接,摘要,来源,时间
“中山大学”号海洋综合科考实习船即将首航,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Focean.cctv.com%2F2022%2F06%2F13%2FARTIMAGgJsxvoRX1TF5gZ0YB220613.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"
		                        								                        							
		                        									                        							珠海特区报记者 阳光 摄　　珠海特区报讯 记者阳光报道：6月12日，中山大学""逐梦海天""海洋与气候高端论坛暨""中山大学""号海洋综合科考实习船首航启动仪式在中山大学珠海校区举行。　　		                        						",来源：海洋,发布时间：2022-06-13 14:00:58
“中山大学研制”护肤品 和中山大学什么关系？,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2020%2F12%2F01%2FARTIRJozBkXEia44GFT5C8iW201201.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"
		                        								                        							
		                        									                        							央视网消息（记者 阚纯裕 及玥）：近几年，不少大学科研产品转化为商品，受到消费者的追捧，但央视网记者调查发现，电商网站上打着“大学科研产品”旗号的商品鱼龙混杂，消费者购买时应仔细甄别。		                        						",来源：新闻,发布时间：2020-12-01 15:46:10
【学思想 强党性 重实践 建新功】中山大学扎实推进主题教育 提升人才培养质量 服务高水平科技自立自强,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F06%2F14%2FARTIv98osOFNJsDAEzdPmSBz230614.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"
		                        								                        							
		                        									                        							下一阶段，中山大学将持续深入调查研究，细化明确问题清单、任务清单、责任清单和成果转化清单，推动主题教育走深走实。		                        						",来源：新闻,发布时间：2023-06-14 20:20:14
广东 中山大学现古墓葬 涉及多朝代,https://search.cctv.com/link_p.php?targetpage=http%3A%2F%2Fnews.cctv.com%2F2019%2F01%2F08%2FARTI4f3vO1VoKsj5IB1Y6XPJ190108.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,"
		                        								                        							
		                        									                        							据了解，中山大学广州校区南校园东区食堂项目地块位于“康乐村-新港西路”地下文物埋藏区，2014年被广州市人民政府公布为广州市第一批地下文物埋藏区。		                        						",来源：新闻,发布时间：2019-01-08 15:00:05
中山大学广州校区南校园发现2名阳性人员,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2022%2F11%2F17%2FARTIB7Mfl566XkxftQrF15MT221117.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,"
		                        								                        							
		                        									                        							　　中山大学11月17日发布《致广州校区南校园全体学生的一封信》称，11月16日，学校接到信息，告知中山大学广州校区南校园核酸检测采样样本中发现3管""十混一""结果异常，经复检，确定2名人员检测结果呈阳性		                        						",来源：新闻,发布时间：2022-11-17 10:06:22
中山大学2022年强基计划招生简章,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fjingji.cctv.com%2F2022%2F04%2F14%2FARTIk1O1smmd4EpoGQgm9YaF220414.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,"
		                        								                        							
		                        									                        							（三）中山大学强基计划招生工作接受中山大学纪检、监察部门全程监督，并接受社会监督。　　		                        						",来源：经济,发布时间：2022-04-14 11:20:20
中山大学2022年高校专项计划（农村学生）招生简章,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fjingji.cctv.com%2F2022%2F04%2F21%2FARTI1M7tChS3MaUZJhDrCOPV220421.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,"
		                        								                        							
		                        									                        							第六条  附则    （一）本简章适用于中山大学2022年高校专项计划（农村学生）招生工作，自公布之日起实施。（二）本简章由中山大学本科招生工作领导小组授权中山大学教务部招生办公室解释。		                        						",来源：经济,发布时间：2022-04-21 09:50:43
“双向奔赴”架起“连心桥” 两岸青年同心同行共议青春梦想,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2024%2F04%2F04%2FARTIaxe6LPrfQxzP8dVcXA14240404.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D4,"
		                        								                        							
		                        									                        							当天下午马英九一行来到了中山大学，活动中台湾青年与大陆青年学生进行了亲切互动。他们一起座谈、合唱、交换礼物留下联系方式。		                        						",来源：新闻,发布时间：2024-04-04 13:45:13
“用脚投票” 台湾学生报考中山大学同比增4倍,https://search.cctv.com/link_p.php?targetpage=http%3A%2F%2Fnews.cctv.com%2F2018%2F05%2F21%2FARTIki5hJcDlqQp6SwdT96Di180521.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D4,"
		                        								                        							
		                        									                        							据中山大学透露，今年，中山大学一共收到近600份台湾高中毕业生报考中山大学的申请，其中符合报名条件的申请，共计563份，较往年增加了约4倍。学校最终讨论决定，给予近200名学生面试资格。		                        						",来源：新闻,发布时间：2018-05-21 10:44:14
我国高校唯一极地破冰船“中山大学极地”号试航成功,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Focean.cctv.com%2F2022%2F12%2F30%2FARTIfEYmQJnQeU00AN6LD7Ja221230.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D4,"
		                        								                        							
		                        									                        							极地号是中山大学继""中山大学""号海洋综合科考实习船投入使用后，服务海洋强国战略的又一""大手笔""。今年9月30日，中山大学为该船举行命名仪式。　　		                        						",来源：海洋,发布时间：2022-12-30 14:50:27
我国最大综合科考实习船“中山大学”号入泊母港！下周首航南海,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Focean.cctv.com%2F2021%2F11%2F22%2FARTIIYaWrRD6qCY8yaexbEgI211122.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D4,"
		                        								                        							
		                        									                        							11月21日，珠海高栏港烽火海洋码头，蓝白色船体的""中山大学""号海洋综合科考实习船（下称""中山大学""号）安静而优雅地停泊在母港。		                        						",来源：海洋,发布时间：2021-11-22 14:07:37
应对物流高峰 中山大学等高校“快递超市”上线,https://search.cctv.com/link_p.php?targetpage=http%3A%2F%2Fnews.cctv.com%2F2019%2F11%2F16%2FARTIkx6jXpSWkcv8kw4FeS5x191116.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D5,"
		                        								                        							
		                        									                        							广州日报讯 （全媒体记者刘春林、麦蔼文）刷脸领快递、个人信息码取件、传统路边摆摊……近日，部分“双11”快递已经陆续到货，记者走进中山大学、暨南大学、		                        						",来源：新闻,发布时间：2019-11-16 12:09:09
大型海洋综合科考实习船“中山大学”号交付并发布首航科考任务,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fjingji.cctv.com%2F2021%2F06%2F27%2FARTIsPtf5TgNM6wHTlWd2Y0E210627.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D5,"
		                        								                        							
		                        									                        							“中山大学”号还对外发布了首航科考任务，计划于今年10月前往南海西沙海域进行科学考察。		                        						",来源：经济,发布时间：2021-06-27 08:59:00
中山大学博士后整容：颜值是我唯一短板,https://search.cctv.com/link_p.php?targetpage=http%3A%2F%2Fnews.cntv.cn%2F2015%2F08%2F20%2FARTI1440042327952670.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D6,"
		                        								                        							
		                        									                        							28岁的中山大学博士后文博（化名）则因为这个追求将自己推到了舆论的风口浪尖。		                        						",来源：新闻,发布时间：2015-08-20 11:51:14
集智助力破解关键技术难题 “赢在中大”创新创业大赛总冠军争夺赛举行,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Flocal.cctv.com%2F2024%2F03%2F28%2FARTIIv7OS8bv7hF7mUh38WsN240328.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D6,"
		                        								                        							
		                        									                        							央视网消息（记者 麦锦婷）3月25日，中山大学第十七届""赢在中大""创新创业大赛总冠军争夺赛暨颁奖典礼在广州校区南校园落幕。中山大学校长高松、校党委副书记张琪出席活动。		                        						",来源：地方频道,发布时间：2024-03-28 22:20:39
金牌实习生（初选入围）：中山大学管理学院林晨雨,https://search.cctv.com/link_p.php?targetpage=http%3A%2F%2Fgongyi.cctv.com%2F2017%2F11%2F06%2FARTIKbsiiD2u3tXVkuyed2cz171106.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D6,"
		                        								                        							
		                        									                        							林晨雨 教育经历：2016 级中山大学管理学院企业管理专业 实习经历： 2013年在广西柳州市金融工作办公室实习，负责小额贷款公司审计监管，组织筹建小额贷款公司行业协会的建立；撰写行业研究报告得到自治区金融办领导的批示		                        						",来源：公益频道,发布时间：2017-11-06 16:37:25
2014中华龙舟大赛：中山大学新华学院龙舟队,https://search.cctv.com/link_p.php?targetpage=http%3A%2F%2Fsports.cntv.cn%2F2014%2F02%2F27%2FARTI1393467849885961.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D6,"
		                        								                        							
		                        									                        							队伍简介 队伍情况：中山大学新华学院龙舟队是2014年刚组建的。龙舟运动作为中华民族传统项目，蕴含着中华龙文化。我们全队运动员酷爱龙舟运动，刻苦训练。抱着胜不骄傲，败不馁气的精神态度。		                        						",来源：体育,发布时间：2014-02-27 10:49:37
中山大学发布上消化道肿瘤内镜人工智能辅诊最新研究成果,https://search.cctv.com/link_p.php?targetpage=http%3A%2F%2Fnews.cctv.com%2F2019%2F10%2F09%2FARTIla6EM13u8F4IJdQcan3Z191009.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D6,"
		                        								                        							
		                        									                        							中山大学肿瘤防治中心8日发布消息称，该院徐瑞华教授团队成功研发上消化道肿瘤内镜人工智能辅助诊断系统，相关研究成果《人工智能实时辅助内镜早期诊断上消化道肿瘤：一项多中心、病例对照、诊断性研究》4日在线发表于国际期刊		                        						",来源：新闻,发布时间：2019-10-09 18:47:21
“中山大学极地”号到渤海试航破冰 该船为我国高校首艘、国内第三艘破冰船,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Focean.cctv.com%2F2023%2F01%2F29%2FARTIZt7i1IaHqrgynzIDfzB6230129.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D6,"
		                        								                        							
		                        									                        							""中山大学极地""号是中山大学继""中山大学""号海洋综合科考实习船投入使用后，服务海洋强国战略的又一""大手笔""。		                        						",来源：海洋,发布时间：2023-01-29 15:45:24
路博,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Ftv.cctv.com%2F2020%2F05%2F29%2FTACTDcroX2AFu4AFfhloopIg200529.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,"
		                        								                        							
		                        									                        							本科毕业于北京广播学院播音与主持艺术专业，硕士毕业于中山大学工商管理专业，博士就读于暨南大学新闻传播学院，2003年7月—2008年9月在广东电视台体育频道工作；2008年9月—2016年3月主持广东卫视的		                        						",来源：CCTV主持人,发布时间：2024-03-31 12:34:12
中山大学附属第三医院院长助理杨扬：医者的初心就是守护病人,https://search.cctv.com/link_p.php?targetpage=http%3A%2F%2Fnews.cctv.com%2F2020%2F03%2F29%2FARTIM7Fj2H0U13qJHAfiKY0K200329.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,"
		                        								                        							
		                        									                        							央视网记者专访中山大学附属第三医院院长助理、医院第三批支援湖北医疗队队长杨扬，听他分享关于重症病区管理和救治模式的思考。		                        						",来源：新闻,发布时间：2020-03-29 18:35:51
国台办：一贯倡导和积极推动两岸青年交流,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2024%2F04%2F10%2FARTI1A7VZCME0W0lzEcG2YCp240410.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,"
		                        								                        							
		                        									                        							会上，有记者问，马英九先生近两年都有带台湾青年赴大陆参访交流，这次在中山大学参访时表示，未来的两岸青年交流还有很大的发展空间，应该给年轻人更多的认识机会。请问对此有何评论？		                        						",来源：新闻,发布时间：2024-04-10 10:28:35
国台办：密切关注台湾花莲县地震灾情 愿意向受灾同胞提供援助,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2024%2F04%2F10%2FARTIAotWNzHE2nYrhP81tPj5240410.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,"
		                        								                        							
		                        									                        							全国台联、中国红十字会总会、台盟中央分别发出慰问信，福建、广西等地方台办向灾区表达慰问，北京大学、中山大学、武汉大学、厦门大学等多所高校为台湾地震受灾家庭学子开通临时困难补助专项通道，各地通过多种渠道向台湾有关方面捐款		                        						",来源：新闻,发布时间：2024-04-10 10:21:49
护肤重在去繁就简,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fstyle.cctv.com%2F2024%2F04%2F02%2FARTI6mflyiuve3Px4T1YQEKt240402.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D7,"
		                        								                        							
		                        									                        							中山大学附属第一医院东院皮肤科主任罗迪青教授指出，对皮肤的保护重在防晒、适度清洁、保湿、规律的作息和丰富均衡的营养摄入这5件事，避免走入误区。首先，不必强求""深度清洁""。		                        						",来源：时尚,发布时间：2024-04-02 12:03:15
